site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CVMS 00OCT09 2000.7721 51826 1083 1  -89.6  -3945 -0.571447   3934661  0.196768    72  0.947407  0.0000 0.001071 0.001333 0.004871 -0.059106 -0.093994  0.031194  35.5414214263  -89.6435097127    72.94741
CVMS 00OCT10 2000.7748 51827 1083 2  -89.6  -3945 -0.567038   3934661  0.198045    72  0.942327  0.0000 0.001090 0.001301 0.004940 -0.038153 -0.062964 -0.027831  35.5414214378  -89.6435096645    72.94233
CVMS 00OCT11 2000.7775 51828 1083 3  -89.6  -3945 -0.558426   3934661  0.195042    72  0.950777  0.0000 0.001132 0.001371 0.005130 -0.060149 -0.006016 -0.087446  35.5414214107  -89.6435095699    72.95078
CVMS 00OCT13 2000.7830 51830 1083 5  -89.6  -3945 -0.549534   3934661  0.188285    72  0.950005  0.0000 0.001210 0.001468 0.005677 -0.029056 -0.038608 -0.140440  35.5414213498  -89.6435094727    72.95001
CVMS 00OCT14 2000.7858 51831 1083 6  -89.6  -3945 -0.548753   3934661  0.186623    72  0.958348  0.0000 0.001144 0.001476 0.005808 -0.092566  0.138953 -0.250319  35.5414213347  -89.6435094645    72.95835
CVMS 00OCT15 2000.7885 51832 1084 0  -89.6  -3945 -0.552420   3934661  0.188888    72  0.944039  0.0000 0.001206 0.001522 0.005864  0.039147  0.065205 -0.004244  35.5414213551  -89.6435095054    72.94404
CVMS 00OCT18 2000.7967 51835 1084 3  -89.6  -3945 -0.550913   3934661  0.190345    72  0.950746  0.0000 0.001128 0.001387 0.005370 -0.039578  0.067956 -0.093536  35.5414213682  -89.6435094900    72.95075
CVMS 00OCT19 2000.7995 51836 1084 4  -89.6  -3945 -0.550269   3934661  0.186058    72  0.949268  0.0000 0.001127 0.001393 0.005270 -0.040074  0.099173 -0.110006  35.5414213295  -89.6435094833    72.94927
CVMS 00OCT20 2000.8022 51837 1084 5  -89.6  -3945 -0.549625   3934661  0.189120    72  0.954293  0.0000 0.001079 0.001290 0.004897 -0.063417  0.075163 -0.045142  35.5414213570  -89.6435094766    72.95429
CVMS 00OCT21 2000.8049 51838 1084 6  -89.6  -3945 -0.548013   3934661  0.188351    72  0.951569  0.0000 0.001088 0.001296 0.004911 -0.055216  0.039015 -0.043414  35.5414213501  -89.6435094593    72.95157
