site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
TN49 10FEB07 2010.1027 55234 1570 0  -89.5  -1731 -0.244443   3961142  0.223564    95  0.159451  0.0000 0.000720 0.000816 0.002845 -0.018162  0.053965 -0.116323  35.7800907738  -89.5191496602    95.15945
TN49 10FEB08 2010.1054 55235 1570 1  -89.5  -1731 -0.246047   3961142  0.222995    95  0.157124  0.0000 0.000728 0.000832 0.002876 -0.014821  0.021402 -0.081340  35.7800907687  -89.5191496784    95.15712
TN49 10FEB09 2010.1081 55236 1570 2  -89.5  -1731 -0.250555   3961142  0.221882    95  0.157311  0.0000 0.000737 0.000829 0.002905  0.019650  0.012617 -0.165512  35.7800907586  -89.5191497287    95.15731
TN49 10FEB10 2010.1109 55237 1570 3  -89.5  -1731 -0.244911   3961142  0.221258    95  0.156777  0.0000 0.000752 0.000836 0.002988  0.010265  0.026206 -0.140839  35.7800907529  -89.5191496667    95.15678
TN49 10FEB11 2010.1136 55238 1570 4  -89.5  -1731 -0.246480   3961142  0.222771    95  0.157344  0.0000 0.000721 0.000826 0.002816 -0.028149  0.007680 -0.116673  35.7800907665  -89.5191496844    95.15734
TN49 10FEB12 2010.1164 55239 1570 5  -89.5  -1731 -0.243559   3961142  0.220485    95  0.155326  0.0000 0.000732 0.000813 0.002825 -0.030918  0.023823 -0.156403  35.7800907459  -89.5191496526    95.15533
TN49 10FEB13 2010.1191 55240 1570 6  -89.5  -1731 -0.244859   3961142  0.219978    95  0.162359  0.0000 0.000733 0.000815 0.002840 -0.036517  0.019854 -0.106288  35.7800907413  -89.5191496673    95.16236
TN49 10FEB14 2010.1218 55241 1571 0  -89.5  -1731 -0.243125   3961142  0.222073    95  0.161398  0.0000 0.000757 0.000836 0.002935  0.010148  0.069490 -0.110377  35.7800907602  -89.5191496486    95.16140
TN49 10FEB15 2010.1246 55242 1571 1  -89.5  -1731 -0.244544   3961142  0.222994    95  0.163637  0.0000 0.000735 0.000831 0.002937 -0.024641  0.039901 -0.099377  35.7800907684  -89.5191496647    95.16364
TN49 10FEB16 2010.1273 55243 1571 2  -89.5  -1731 -0.246617   3961142  0.223622    95  0.169344  0.0000 0.000778 0.000862 0.003162  0.004737  0.016083 -0.148830  35.7800907741  -89.5191496881    95.16934
TN49 10FEB17 2010.1300 55244 1571 3  -89.5  -1731 -0.245245   3961142  0.221000    95  0.158986  0.0000 0.000734 0.000810 0.002901 -0.003437  0.031465 -0.188022  35.7800907504  -89.5191496733    95.15899
TN49 10FEB19 2010.1355 55246 1571 5  -89.5  -1731 -0.245032   3961142  0.220862    95  0.160340  0.0000 0.000746 0.000822 0.002914 -0.002843  0.034470 -0.160195  35.7800907491  -89.5191496718    95.16034
TN49 10FEB20 2010.1383 55247 1571 6  -89.5  -1731 -0.244749   3961142  0.220921    95  0.161317  0.0000 0.000719 0.000821 0.002857  0.008037  0.012766 -0.123014  35.7800907496  -89.5191496691    95.16132
TN49 10FEB21 2010.1410 55248 1572 0  -89.5  -1731 -0.245823   3961142  0.221819    95  0.166521  0.0000 0.000732 0.000823 0.002919  0.009049  0.027827 -0.136098  35.7800907576  -89.5191496814    95.16652
TN49 10FEB22 2010.1437 55249 1572 1  -89.5  -1731 -0.245717   3961142  0.221691    95  0.167778  0.0000 0.000772 0.000850 0.003075  0.008117  0.025353 -0.139645  35.7800907565  -89.5191496806    95.16778
TN49 10FEB23 2010.1465 55250 1572 2  -89.5  -1731 -0.244811   3961142  0.221652    95  0.162741  0.0000 0.000773 0.000827 0.003011  0.017405  0.000949 -0.165753  35.7800907561  -89.5191496710    95.16274
TN49 10FEB24 2010.1492 55251 1572 3  -89.5  -1731 -0.245570   3961142  0.222128    95  0.161667  0.0000 0.000747 0.000821 0.002978 -0.009609  0.026788 -0.167024  35.7800907603  -89.5191496798    95.16167
TN49 10FEB25 2010.1520 55252 1572 4  -89.5  -1731 -0.247440   3961142  0.218254    95  0.162764  0.0000 0.000746 0.000818 0.002906 -0.000648  0.060156 -0.162357  35.7800907254  -89.5191497009    95.16276
TN49 10FEB26 2010.1547 55253 1572 5  -89.5  -1731 -0.245344   3961142  0.223622    95  0.161375  0.0000 0.000745 0.000838 0.002999 -0.029307  0.030069 -0.107177  35.7800907737  -89.5191496782    95.16138
TN49 10FEB27 2010.1574 55254 1572 6  -89.5  -1731 -0.246190   3961142  0.221227    95  0.165469  0.0000 0.000740 0.000828 0.002928 -0.014142  0.041527 -0.134693  35.7800907521  -89.5191496879    95.16547
TN49 10FEB28 2010.1602 55255 1573 0  -89.5  -1731 -0.245468   3961142  0.222926    95  0.165702  0.0000 0.000735 0.000824 0.002897 -0.023865  0.027387 -0.125334  35.7800907674  -89.5191496804    95.16570
TN49 10MAR01 2010.1629 55256 1573 1  -89.5  -1731 -0.246568   3961142  0.222705    95  0.158727  0.0000 0.000723 0.000805 0.002838  0.002702  0.008788 -0.129345  35.7800907654  -89.5191496930    95.15873
TN49 10MAR02 2010.1656 55257 1573 2  -89.5  -1731 -0.244455   3961142  0.222678    95  0.161886  0.0000 0.000733 0.000814 0.002869 -0.009537  0.041588 -0.132723  35.7800907651  -89.5191496700    95.16189
TN49 10MAR03 2010.1684 55258 1573 3  -89.5  -1731 -0.244875   3961142  0.222763    95  0.159469  0.0000 0.000729 0.000812 0.002841 -0.001042  0.034163 -0.142144  35.7800907658  -89.5191496751    95.15947
TN49 10MAR04 2010.1711 55259 1573 4  -89.5  -1731 -0.244253   3961142  0.221818    95  0.158451  0.0000 0.000732 0.000811 0.002904 -0.027290  0.052374 -0.124031  35.7800907573  -89.5191496686    95.15845
TN49 10MAR05 2010.1739 55260 1573 5  -89.5  -1731 -0.245223   3961142  0.222649    95  0.156314  0.0000 0.000725 0.000806 0.002862 -0.004229  0.037825 -0.109782  35.7800907647  -89.5191496798    95.15631
TN49 10MAR06 2010.1766 55261 1573 6  -89.5  -1731 -0.244630   3961142  0.223462    95  0.156509  0.0000 0.000720 0.000798 0.002806 -0.034409  0.066703 -0.124306  35.7800907720  -89.5191496737    95.15651
TN49 10MAR07 2010.1793 55262 1574 0  -89.5  -1731 -0.245177   3961142  0.222457    95  0.162237  0.0000 0.000726 0.000799 0.002823 -0.004531  0.023508 -0.154283  35.7800907629  -89.5191496801    95.16224
TN49 10MAR08 2010.1821 55263 1574 1  -89.5  -1731 -0.244715   3961142  0.222991    95  0.159141  0.0000 0.000719 0.000796 0.002835 -0.010815  0.022832 -0.117911  35.7800907677  -89.5191496754    95.15914
TN49 10MAR09 2010.1848 55264 1574 2  -89.5  -1731 -0.245394   3961142  0.223335    95  0.166519  0.0000 0.000744 0.000834 0.003039  0.014421  0.026683 -0.103494  35.7800907708  -89.5191496834    95.16652
TN49 10MAR10 2010.1875 55265 1574 3  -89.5  -1731 -0.244486   3961142  0.220910    95  0.170021  0.0000 0.000736 0.000818 0.002947  0.003153  0.003757 -0.132402  35.7800907489  -89.5191496737    95.17002
TN49 10MAR11 2010.1903 55266 1574 4  -89.5  -1731 -0.247494   3961142  0.224310    95  0.168827  0.0000 0.000735 0.000832 0.002907 -0.003569  0.019111 -0.146456  35.7800907795  -89.5191497074    95.16883
TN49 10MAR12 2010.1930 55267 1574 5  -89.5  -1731 -0.247310   3961142  0.223967    95  0.165686  0.0000 0.000759 0.000837 0.003136 -0.005966  0.039629 -0.152512  35.7800907764  -89.5191497058    95.16569
TN49 10MAR13 2010.1958 55268 1574 6  -89.5  -1731 -0.246629   3961142  0.223159    95  0.164825  0.0000 0.000726 0.000803 0.002859 -0.001570  0.019766 -0.141731  35.7800907691  -89.5191496987    95.16482
TN49 10MAR14 2010.1985 55269 1575 0  -89.5  -1731 -0.245985   3961142  0.221377    95  0.161989  0.0000 0.000736 0.000816 0.002915 -0.030478  0.071620 -0.154574  35.7800907530  -89.5191496920    95.16199
TN49 10MAR15 2010.2012 55270 1575 1  -89.5  -1731 -0.245925   3961142  0.223027    95  0.157188  0.0000 0.000729 0.000803 0.002878 -0.003390  0.059210 -0.158858  35.7800907678  -89.5191496918    95.15719
TN49 10MAR16 2010.2040 55271 1575 2  -89.5  -1731 -0.246376   3961142  0.222796    95  0.156411  0.0000 0.000748 0.000814 0.002908 -0.006033  0.031423 -0.153597  35.7800907657  -89.5191496972    95.15641
TN49 10MAR17 2010.2067 55272 1575 3  -89.5  -1731 -0.247559   3961142  0.225329    95  0.158122  0.0000 0.000751 0.000816 0.002933 -0.018350  0.042523 -0.117871  35.7800907885  -89.5191497107    95.15812
